DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
24932003,209146346,448,130628,114750,2046216,2638343,44265,46071,3605928,740124675,2458272,636528268,62129,4421041,0,46246,955776,0,12239,4346512,0,3972134,36237830,16973,5254400,0,237786,306417,88309177,17879,527525156,442632864,1470096,8772197,1125,21771281,0,11051082,5938282,19420569,675,1181486,85482,76,168140,462752823,442611895,0,0,4295511,290930537,0,8037,2340237,160819251,99644426,0,13526192,70539640,14641,151645,9654,0,2598462,32,5958503,7473858,3469,14640,0,51,53156,7572823,2688868,4146237,724,3225841,110212,1468291,1098596,469486118,77797,17008241,1,398738,142992819,57675,5525686,416636,11117907,259518,1667,256,10211350,147865513,8345,470488958,46124,277,26,442660489,532862874,149662,0,834327,133719,1045955397,4194744,22158,133483627,3004826,740897105,0,0,4185354,229179822,1633393,19823070,6499918,1600575,0,82209496,3105292,0,26945,8919883,7731445,55952,25295,3586673,3695763,295363824,0,0,11370555,2971038,6169039,40236433,
7474096,405031175,722,42174,397111,2566410,5408664,146634,1,8281743,1002579893,2106767,159074300,75190,11246562,0,12790,216524,0,16654,604893,0,15099055,128126473,33497,1498176,2,8,11,12402641,24721,73771011,838259397,368438,3157941,28077,120184001,0,34063506,6501957,21921623,591,3647884,86865,64,933718,66876198,838097374,0,0,12368606,469874700,0,302,1006364,14981026,178110585,0,42972216,12941855,0,42142,29969,0,4011930,29,664219,14640931,938,0,0,2,670,46693163,7585426,11281729,394,9676809,114264,1812010,897852,199108288,309591,112242073,1,363,48801943,38102,17752524,966477,2691243,118389,1,2431,5881127,309491072,17632,49375786,50910,248,30,837677505,91783819,5625,0,1347970,9280,2000417532,16868116,1130,49158428,8994435,1007240444,0,0,1361191,323310356,3844003,12836326,12716271,140150,0,100873771,7919502,0,32078,7594531,1752897,130647,276487,9898435,1565792,617446348,0,0,22664059,1752976,1915943,92684712,
69180640,185482581,478,2127,461705,3303546,195293,93332,6244006,2871749,1165526072,9798460,2932967399,610443,8705384,0,402,374617,0,4770,9941407,0,10437282,95184913,5964,2827227,0,300266,3495693,12536557,190,162162077,2599971169,2817177,41225516,3643250476,72723060,0,36582859,761727,185713481,468,1883684,77926,0,37263,67286868,2599828030,0,0,10120152,653636967,0,28888,13959215,33318386,148313888,0,43120597,456580599,84213,378181,7985,0,26262070,0,16178995,9909361,30,84211,0,84,176097,85354511,11706790,11459017,2910,3947968,51,304772,3978051,2154348814,190363,88522660,1,3019515,468788550,83027,6277061,92894,99302259,786747,4929,4132,65243759,710981844,36672,106921233,39746,0,0,2599370297,92774631,537935,0,1103696,624320,2000235811,9884695,1253,418659819,7817614,1165013377,0,0,15656977,25867415,3588586,101202059,5432131,2523314,0,11573857,5597025,0,2341,6196663,42251222,72171,524005,7601311,15196660,1472284845,0,0,108576733,22076087,25377320,10364867,
5489329,78025637,126,23021,31607,771172,20290528,46476,68901217,220250,998170928,207872801,800685932,224371,197,0,7494,12888323,0,23380,335692,0,131638,145142126,42472,45306465,0,39021640,7842112,16887569,22714,8524036844,994099111,248,808980,0,3601,0,608899,3214930,56873723,1315,2427711,107,0,38678,85479308,994178417,0,0,338200,567628320,0,6588,379654,2395418643,43758690,0,1488337,96096502,79906,7015,105395,0,53687986,0,3152830,207123,559,79905,0,0,53013,3209313,1604828,325056694,1080,584364,281,2946664,1058673,1495879,1975,72252888,0,77292,5079066,15106,209797,3030747,5173953,7038,4925,5,1085801,669190712,6352025,9001186227,49,0,0,994430908,123303068,122691,0,279,19457,1996825653,27863,117,579999003,5902,997756651,0,0,36734,37514356,272,342392,849035,42927,0,505769590,760069,0,7018,1589538,37795,389442,163476,446,273627,610167285,0,0,8626897,1487738,432076,334913528,
20685320,93357209,230,6598,95802,1071315,288753,40312,59490079,398743,999404670,403193604,799441306,1301,327,0,1695,309914,0,1686616301,331912,0,3009,117104213,70495,354903,9,34602525,6475818,1565473838,42292,3634358134,991648520,5171,2606144,0,280872,0,4417767,3377116,685325,117756595,4381,194720,0,63978,11225634279,991676528,0,0,1008566,543053809,0,2473396032,1318201,988798534,54736156,0,3432832,3479352,5840303786,102266,18595,0,48967174,0,2635833,1392031,0,5840167152,0,1,235,12699726,1675718,355469995,920,1297336,417,74378,149140799005,94130769,1542,25018468,0,160348,6692574,32175,1795311,129626,10240765,53435,556,1,9382789,795857011,5485772,4329323246,69,0,0,991785240,12601279217,46058550343,0,2285,49688,1996031218,7333,99937,464811016,60024,999185236,0,0,76236,36085312,24235,797610,1555992,45912,0,103956202,701454,0,7349,3440475,1327084,11618,134946,2221,1370789,587160344,0,0,11940887,5284711,1288860,199168824,
20700518,149522533,478,2150091,71776,1264782,12040,1429,52731285,3315308,998144617,294042487,798845709,258031,7880,0,370398,1491752,0,0,664468,0,18606,193080995,624422,790007,0,30524889,5850475,96642330,304817,2782883474,990870280,10482,364628,0,380758,0,3733497,3420552,568596,0,11335,17279615129,0,50937,4512496252,990886843,0,0,993344,554380199,0,0,130599,607598446,59110936,0,5975302,26213533,0,23697,23884,0,48453954,0,3007488,2809535,27254,0,0,4,482,10028316,25266,278541088,958,1019434,762,3178400,0,131491671,24868,78181549,0,260482,6749799,5053,2604937,139021,12148898,59264,362,2,18881450,604745841,5162514,3092683346,51909,0,0,990944201,4415105517,0,0,1797,59,1995703357,3133,52544,427856526,102452,998052674,0,0,411595,3887110744,1430492,3407827,2573156,80,0,497934639,1507401,0,7746,5333433,5673156,19929,305,1843,116879,581754252,0,0,13437778,2087298,222518,396544253,
21148949,115229615,143,772,36518,1238149,23435,43330,49951390,705353,999584602,250937183,796167264,105003,8994,0,126,293000,0,0,322427,0,249877,90557344,668,935674,0,28765250,5588816,97333199,2482,2513488527,989325856,5684,267318,0,615212,0,10887,2771564,852095,0,18175,0,0,68501,2701047319,989367694,0,0,432142,563252730,0,0,66869,543142790,60852407,0,1320868,36570388,0,46098,27465,0,48172565,0,3296840,2176255,19,0,0,0,616,10125161,10405,242057720,978,1981406,513,0,0,75592134,6509,32286142,0,257085,9870856,11607,3084418,76564,13867399,8485,1092,9,10469957,565176602,4047116,2775533635,9262394290,0,0,989382735,2741952496,0,0,470,477,1995619654,3168,6293,410242769,1454850,999510034,0,0,1069025,1093948349,97001,5667619,2332404,104,0,514048774,1106006,0,190,8490270,564769,1411,155965,215,53619,584336201,0,0,20827204,1866212,186960,291703863,
13917573,129535835,4,1521,1079,2798029,31076,1044,48593846,1115811,997871252,248139621,798440953,49110513454,7705,0,101863,785204,0,0,185183,0,14914,46542703,873,3040,0,34030397,5209304,8929884,5160,2362681554,990328469,2179,295097,0,6367581,0,15282,2083349,1088891,0,22262,0,0,56867,258541145,990334402,0,0,78418,582741237,0,0,74258,499471281,62591303,0,3305181,42483948,0,41769,8116,0,53008585,0,1808169,2672977,7511,0,0,2,772,9356084,34598,259755817,988,1526220,182,0,0,92920598,141329,26428173,0,168872,11006080,3527,1676482,65028,49637460,42746,30,7,10734557,618865832,861399,2377424172,0,0,0,990360249,241614640,0,0,48,1000,1995533205,52897,4452157985,423470596,154894,997849113,0,0,228731,843973734,56569,638494,2387379,473,0,478381963,1504065,0,8173,9834064,300945,648,145235,7599,65671,618640133,0,0,20698734,80548,204498,271738142,
8404922,157200320,1734,2309,9454,862575,36801,1133,47912836,999446,999761602,263366301,798422724,0,11454,0,7468484835,614558,0,0,308141,0,17907,53448296,1388,13946,0,33851211,5311669,6433171,6888,2332879778,990260811,1325,304299,0,5296,0,83421,2120134,1346749,0,26435,0,0,71925,420025726,990264995,0,0,34225066,578893781,0,0,78485,670244970,63401938,0,640182,47847430,0,298,122,0,53057894,0,1574409,3287143,546034797,0,0,0,899,9047229,35385,258502979,989,2005427,1109,0,0,106140041,254650,24226985,0,83285,14766390,6168,1621948,587,61737718,41,83,0,1657760,622814275,48766470,2654083145,0,0,0,990284239,421180512,0,0,725,14361,1995505061,1008,0,429641582,181977,999724318,0,0,192153,747419044,149342,717899,2744313,592,0,379965850,1411834,0,704,7830107,335209,1552,1752561,9806,69681,612540923,0,0,20651616,5410380,209138,277035628,
9191208,89784583,282840218,2741,2353,865600,69449,4143,46744968,3337330,997732128,252236539,798375340,0,5807,0,0,1715395,0,0,365065,0,21742,56566729,1741,24130270,0,32885446,5184809,32469101,8146,2293948836,990132124,4207,320508,0,144333,0,98754,2147734,1573247,0,29787,0,0,59368,473483523,990136255,0,0,3183937367837,575547085,0,0,83576,535440091,63887289,0,2058295,49977448,0,49100,92,0,51382446,0,1773827,1851234,0,0,0,0,1009,27808534,44884,247407323,998,1901965,438,0,0,112338978,2652,24747385,0,7321,14838678,6153,1863938,2070,47268380,338,54,0,18869208,546671460,3068551821000,2490069386,0,0,0,990149810,463696104,0,0,215,537,1995471045,2120494,0,424890865,349835,997729668,0,0,204808,706583955,91251,1651304,2066645,570,0,205447633,1210341,0,625,7765854,343538,216,132601810517,8895,81264,608375312,0,0,20696673,2197738,219334,371682007,
9830450,125032104,0,3243,1133,1072185,49314,52794,46880209,900785,1000159947,244089668,798309276,0,119732,0,0,447972,0,0,412427,0,89470,59342088,2054,6429511,0,32709157,5239012,39009731,9050,2271272001,989245590,4134,356148,0,1647048,0,133270,2201987,1818459,0,32905,0,0,79704,646129158,989258575,0,0,0,572885583,0,0,95644,517066351,64444193,0,9795034,51307959,0,2070,1669,0,50944127,0,1836335,2918556,0,0,0,0,1101,11587901,1708072,243367093,1001,1617942,235,0,0,121641253,28793,26702716,0,372121567272,9504846,30547,1927933,1805,44024161,136,1096,0,11540543,109193614,0,2465692173,0,0,0,989262864,648969596,0,0,441,411,1995452599,2244058,0,422635753,239453,1000128331,0,0,205177,756889548,69760,2215017,2923030,660,0,63306723,1110884,0,191,8246471,364008,778,0,12449,83903,608842541,0,0,20805797,1431618,243426,376658774,
10170791,201432279,0,3687,5805,1602292,51269,11001,46075817,1365965,999795006,237079148,798268472,0,71967,0,0,1087994,0,0,446271,0,35392,60817774,2390,5081635579936,0,32190320,5128016,43849174,9716,444635294,989012339,2487,3395053,0,4751810,0,4124223,2230599,1866636,0,36288,0,0,59978,698131225,989044192,0,0,0,576086070,0,0,1655882,88868683,64779451,0,845707,52172399,0,1147479,184,0,51601029,0,1906517,5581743,0,0,0,0,1158,14833204,4635,239053318,999,1565195,179,0,0,107436700,7207,26584482,0,0,25191328,72544,1976594,1842,57270854,576,4,6152,8202932,122438787,0,495329337,0,0,0,989033724,707213611,0,0,124,765,1995365421,2374134355321,0,419535855,200766,999776818,0,0,212362,723933522,72532,1461423,5822340,778,0,99890943,3693239,0,43,5966486,381154,780,0,6699,1662117,607699434,0,0,20283194,2964616,1726397,360311702,
10515574,299505197,0,4100,346,1704447,54995,10697,47306488,968296,999458507,232073354,798242001,0,5909,0,0,467112,0,0,422417,0,37831,59429573,2616,0,0,34275652,6019639,46132750,10220,251603294,990061471,2644,116260,0,113289,0,2788,1396050,1902244,0,44116,0,0,73979,735023270,990062236,0,0,0,1376491013,0,0,32932,53662296,54806437,0,605289,52423662,0,149840,360,0,123938978,0,1934697,10224516,0,0,0,0,1250,10688912,7792,237031922,1001,4021339,341,0,0,213231262,4130,27885060,0,0,25536572,105195,1923975,1846,53024103,128,12,5051,13982776,112918061,0,266856726,0,0,0,990070415,748317785,0,0,379,1165,1995714032,0,0,416521628,203189,999440466,0,0,231412,707889521,1356188,1193075,7832241,31430,0,112632841,573282,0,1347,8640653,6720589,613,0,117454,23970,611677941,0,0,13181739,4221096,62679,346154534,
7814702,174171988,0,11710,620,2284150,61313,3310,39576683,3785528,999352703,211612268,798118263,0,3807,0,0,1810927,0,0,1105602,0,41532,106051202,1855,0,0,23700247,5239870,49686675,10634,348096858,990057921,3906,129489,0,193092,0,318772,3512481,1964505,0,39445,0,0,106026,734318642,990059438,0,0,0,1524559823,0,0,38083,121568029,66143346,0,475564,44611547,0,103372250574,385,0,124536740,0,1426611,5235486,0,0,0,0,1313,11538840,115469,201770355,1003,818055,220,0,0,202899242,28362,61477644,0,0,25792294,70308,1500571,2408,16642114,438,38,834293034,15348153,182424058,0,447922674,0,0,0,990065293,761687736,0,0,191,69975,1995403337,0,0,452260582,1450969,999345545,0,0,1396362,693695812,18887,786759,5161614,2152,0,117444905,669867,0,51887544289,7628016,261513,654,0,70167,27386,601956237,0,0,15214122,2484672,69735,340805908,
22583652,79265977,0,4728,3977,1854228,63841,1250,44574036,951305,1000125882,189395931,798225182,0,3250,0,0,872820,0,0,1114713,0,42654,102244244,3392,0,0,25241143,5094211,51802803,10908,420905470,990038538,8113,137553,0,144017,0,281097,3596387,2241377,0,41418,0,0,73866,753701872,990039385,0,0,0,1531043253,0,0,41131,138919970,65443425,0,631558,51902072,0,0,471,0,135298414,0,3586499,1449321,0,0,0,0,1367,11157218,85326,194845714,1007,893673,356,0,0,205833971,4532,39456743,0,0,23071271,9829,3702107,140958,10660886,298,91,0,12212128,187404148,0,526517850,0,0,0,990045227,787833358,0,0,865,2830,1995410980,0,0,381127014,54734,1000114279,0,0,58993,685894571,15374,788824,1775180,4830817,0,118768131,1118609,0,0,7035329,267240,323811,0,6716,30575,566115225,0,0,15402527,1778762,78900,335915201,
22373855,102094019,0,5012,1422,1305965,70411,92,44580875,1337931,1000123269,187041137,798212324,0,7099,0,0,987061,0,0,1124486,0,55121,101902288,3593,0,0,25279158,5095700,53758528,10699,477345060,989924258,8837,398344,0,1994825,0,277483,3513725,2291570,0,42585,0,0,79768,772343985,989926377,0,0,0,1059114265,0,0,145955,152873525,65474584,0,1174219,52484824,0,0,423,0,94111717,0,3596578,2577119,0,0,0,0,1418,13273722,84204,196076421,1005,1424006,1457,0,0,207139846,4774,39572513,0,0,18166308,20570,3614749,974,12538217,10820,783,0,9726054,192046925,0,584149782,0,0,0,989930328,808136667,0,0,2811127,3173,1995406228,0,0,381185284,49044,1000113718,0,0,63881,664554583,16712,1570113,2663958,425251,0,123988688,1386283,0,0,8166434,268791,153743,0,3973,138425,570104418,0,0,15487116,4670169,235738,289967741,
22331697,112755876,0,5249,1680,1399470,68863,21843,44443746,1891591,1000138342,188700648,798192275,0,12434,0,0,775592,0,0,997483,0,160071,102153747,3741,0,0,25236501,5082067,55122650,10074,521850687,990004095,9019,372476,0,297272,0,287021,3234893,2099630,0,46079,0,0,74978,791897232,990004585,0,0,0,557273030,0,0,101579,127411664,64951518,0,1005740,52813651,0,0,479,0,49680574,0,3597033,2156386,0,0,0,0,1459,12979051,85623,196456376,1002,1636697,1585,0,0,144579191,5170,38411642,0,0,17922910,21046,3574376,979,12872826,308,1683,0,16740496,177301815,0,595588117,0,0,0,990008891,829145136,0,0,348584,3453,1995404386,0,0,380889494,53622,1000127867,0,0,69854,549279545,111028,8484425,2176570,425866229161,0,125696880,1164621,0,0,2860044,694060,75757295545,0,3927,91101,569650764,0,0,57400682,1651404,254400,219973060,
18453571,50499764,0,5495,1719,1719632,80414,300804490385,45143792,5204786,1000121976,193214497,798087380,0,14111,0,0,1239007,0,0,543776,0,167463,72671827,3620,0,0,29539275,5015675,56044987,10224,557927961,990013797,7224,397978,0,360735,0,308280,2334326,2138667,0,44840,0,0,61655,803071671,990014726,0,0,0,507390268,0,0,109323,130404594,65463909,0,2019067,52407441,0,0,1938,0,42706453,0,3044362,1043463,0,0,0,0,1497,30210130,91920,210630955,1001,1613313,414,0,0,138906931,5062,37331153,0,0,17212061,27916,2875995,1356,13122803,423655,2112,0,8754952,163735564,0,631825454,0,0,0,990018204,841522361,0,0,3685473,15967,1995379962,0,0,394641047,173086,1000114556,0,0,217834,611438535,81699,2220422,1602112,0,0,108304780,893966,0,0,2959601,502622,0,0,6631,96044,1752111551,0,0,61433572,1861980,272627,222882993,
